FAST.RCD
========
[SELECTOR]
1, 15, 190, 30, 30, 1, 0,UF
2, 15, 235, 30, 30, 2, 0,DF
3, 15, 280, 30, 30, 1, 0,US
4, 15, 325, 30, 30, 2, 0,DS
5, 805, 10, 30, 30, 3, 1,1
6, 805, 55, 30, 30, 3, 2,2
7, 805, 100, 30, 30, 3, 3,3
8, 805, 145, 30, 30, 3, 4,4
9, 805, 190, 30, 30, 3, 5,5
10, 805, 235, 30, 30, 3, 6,6
11, 805, 280, 30, 30, 3, 7,7
12, 805, 325, 30, 30, 3, 8,8
13, 805, 370, 30, 30, 4, 9,9
14, 805, 415, 30, 30, 4, 10,10
15, 805, 460, 30, 30, 3, 11,UB
16, 805, 505, 30, 30, 6, 0,LY
17, 130, 280, 30, 30, 5, 28,H

[SECTIONS]
1, 50, 200, 130, 200, 130, 210, 50, 210
2, 145, 200, 225, 200, 225, 210, 145, 210
3, 240, 200, 320, 200, 320, 210, 240, 210
4, 335, 200, 415, 200, 415, 210, 335, 210
5, 430, 200, 480, 200, 480, 210, 430, 210
6, 495, 200, 545, 200, 545, 210, 495, 210
7, 560, 200, 610, 200, 610, 210, 560, 210
8, 625, 200, 655, 200, 655, 210, 625, 210
9, 670, 200, 780, 200, 780, 210, 670, 210
10, 130, 215, 145, 215, 175, 240, 160, 240
11, 320, 215, 335, 215, 305, 240, 290, 240
12, 480, 215, 495, 215, 465, 240, 450, 240
13, 610, 215, 625, 215, 595, 240, 580, 240
14, 50, 245, 100, 245, 100, 255, 50, 255
15, 115, 245, 160, 245, 160, 255, 115, 255
16, 175, 245, 290, 245, 290, 255, 175, 255
17, 305, 245, 385, 245, 385, 255, 305, 255
18, 400, 245, 450, 245, 450, 255, 400, 255
19, 465, 245, 500, 245, 500, 255, 465, 255
20, 515, 245, 530, 245, 530, 255, 515, 255
21, 545, 245, 580, 245, 580, 255, 545, 255
22, 595, 245, 655, 245, 655, 255, 595, 255
23, 670, 245, 780, 245, 780, 255, 670, 255
